,dimension5,transactionRevenue,revenuePerItem,itemQuantity
31,035a31efeaaf45077a0386eff29c77e1,3118,1559,2
32,037743b1ba70a1821f3a7d6719fce91a,1235,247,5
33,0398a2dde857ac73a5ba985b6a2a11f7,4191,419.1,10
34,03b791295790be55778a8e68a909075c,8590,613.571428571429,14
35,03b968f69508f09101e6bf7ab718f044,3333,555.5,6
36,03bed00325c93663f206920aa8e12e3c,1120,280,4
37,03cacf47842bb7f2c76aeed022e4e5ab,3410,378.888888888889,9
38,03da8266392ede2f15e3fc89aaad1e82,3044,380.5,8
39,03e8d98ce6cc07e200fca208d1c7eeb2,2537,507.4,5
40,03f5b6734a4fc8ebf6e4a9d5dd5770ae,2086,149,14
41,0414dffdabcee46edba11dc95939267c,2043,1021.5,4
42,04155e10d55b0035cf36170d4f9d5a18,3548,221.75,16
43,04354efabbd306dfbcef8c1a31de4fc6,3032,433.142857142857,7
44,04356852dc475becee9c62ca8be52cc5,3123,446.142857142857,7
45,044b63db138e437ac602662d22c40f9a,2314,1157,2
46,04503b16d6d4a4ff81b0b37970c596c2,1557,519,3
47,04549d27f2094b0090b03a4db62a7eae,6416,802,8
48,046b71ec11295cf4cd15e8a979cab031,2350,1175,2
49,04803dbc78c0c76933af9285c83ed281,3142,224.428571428571,14
50,04e262b908e456b58eb6ef3e4bc49bbd,4228,1057,4
51,04ee85975080830dab4fbcf48ad6baf9,7717,1875.66666666667,9
52,0518bc36b2c9c295c9a9c914a4a95735,3296,824,4
53,0525e6ffcb08edb464a5897e4485c628,3133,522.166666666667,6
54,052c425cf51a64ea88c373d70b0f7b54,2407,601.75,4
55,052e6dd32c7c9ac171d7a2f35a9d06ef,3137,522.833333333333,6
56,05449520d5b46ce109a1a89af1688b3a,2013,335.5,6
57,054862f66b5f065fc45b9563dcac0317,6164,1027.33333333333,6
58,054a84289991113adf76b19fa04255d6,1571,314.2,5
59,055e83c5f4d7e380e734b736ad0de99a,2464,2464,1
60,05911e814f6765a4d0379db8f5328d34,1305,435,3
61,05a828367e178d6726af485361e20980,1131,377,3
62,05d348814224240a58004b4f263ddb85,1090,545,2
63,05e1a2fb3cdb8c70c0a43d4003f1ef72,3180,795,4
64,05fef63c0caacfc6c693e914b44a4cdc,3615,723,5
65,062d9412e0a96ee7cd43661940d7c948,6205,961.642857142857,13
66,064fea0e4061b3e4c29e73330715be68,1405,351.25,4
67,0666b9088af5daea0956b4bdd6e6d9bd,3252,1084,3
68,0680652a0420e2fe7326a4ebaf56f8f7,3085,385.625,8
69,0695fbe8c3711303660f3493c322e665,3080,616,5
70,06d08c56d43e7f0d4954d7183e60d94c,1587,317.4,5
71,06f94a48ed433b8d94e2cae86c322056,1968,328,6
72,071b4c385b1704882301c1db2d8de711,15990,1599,10
73,0729d28b5496b874862c027a1c9449fa,10340,188,55
74,073e3d535c95a9ffc825714f933969ec,3595,719,5
75,07686491571fb97284ec905b0e8bc84f,4236,529.5,8
76,0789cadf205cb936b9aabc4b245eda6b,6804,692.914285714286,22
77,0797e7ae3312bf6633c9182def2fd424,2175,310.714285714286,7
78,07b9522130cd34338469bedb8fb4c26c,3010,1505,2
79,07e89d4f3f1d4ea7451a87aa5332c925,2041,680.333333333333,3
80,0813762a8a567b16a0e8c90872ac24d4,4569,1523,3
81,08249e9ba1fd8cb927697183228c1d32,2488,355.428571428571,7
82,0838875e0c1da253299f2839ce0c9852,2047,409.4,5
83,08401c9f17b02f43f5d9a1056d7a25c1,2507,2507,1
84,0857b6dc8adaa74b03132200bd2da750,1819,275,6
85,0860603da5a7cc0db19c864e4628bdbb,1154,230.8,5
86,088dee2de4440608c972561bbebe2efc,4821,438.272727272727,11
87,089447ef566d8d5c7ee60389c1369589,2122,530.5,4
88,08a41edf76f903a488deca63a315e859,4396,1099,4
89,08c35fc54433c6247f40a84df8ceeb4b,2833,404.714285714286,7
90,08c800e70aa3be1fc45e33c3fde52bb2,2081,416.2,5
91,08cf0668eed9bdb1babbc41194ef793b,6102,871.714285714286,7
92,08e9289c48af61a3e91e1c5007d47775,1005,335,3
93,08fb4b0c5d7eff62cb63317ea8acb8d8,3025,336.111111111111,9
94,0905dc4c89e753382c58ae11e1784a48,2472,412,6
95,091d9cdd4e6e211ed60e4a8321534444,9416,235.4,40
96,094a699ee93499ad18d926902f5cbf41,2344,468.8,5
97,0957c9eeb692f3dd06a4fb7425c4c495,1958,979,2
98,095a42873aed6ecdc06bf0cdce4fee23,0,0,0
99,09ad74ddbdcdc115563612e1c82058be,1118,559,2
100,09bd3217a0d61586f616523ddc24d0a8,8110,1330,13
101,09ce23a51e2ae04767c25dce60373bf3,7780,370.47619047619,21
102,09df5929e10e3af1974ec8671df2458f,3304,300.363636363636,11
103,09fc68222aa38784778077a91230cd84,2150,215,10
104,0a223ca4a1dc2b304078e906823325e6,1258,629,2
105,0a6e2cbb1f9699e20d758f4f0cb97e24,3354,559,6
106,0a76b2d1eb61758d8ac09ac85675064c,6448,358.222222222222,18
107,0a77b37bc48c97e8bb7f15d8f32a3b07,2060,686.666666666667,3
108,0a8cfffbd7ac93fb7225429b22bc6196,1827,456.75,4
109,0ab246ba32a08f32d04c9b6422c1fedb,3053,381.625,8
110,0ae48fec959e10f4dee996addee600db,12685,507.4,25
111,0b094cb4bf51291dbbb3707a4ee00ba0,3584,546.571428571429,13
112,0b14c1d5a037f1753f819b0bed5e8d8b,1021,340.333333333333,3
113,0b5fc48b8c0e5798c65ad1a035b46678,2998,1499,2
114,0ba7bb775dc8472ad6c2cbeb3e1d3973,3480,435,8
115,0bb5b0aaf4b93f1d12aedc98b1fcebf2,1075,215,5
116,0bcd8dcaae0b69d0ed393a7d0b6a7fc7,6626,911.777777777778,15
117,0bf2fc4abdfd9c369908ac9572a2be7b,1258,629,2
118,0c01742541427b9f37a15e98cf9b719b,4740,474,10
119,0c383d5ba3f823626cf487e0ac9f518b,1618,809,2
120,0c3e24e56ed1f0c98e9c2114b596e993,2139,267.375,8
121,0c5c453158155fae9f6c02e602270c02,2483,413.833333333333,6
122,0c68318ce78db2a5562768ad2ecee320,2076,519,4
123,0c6c628fc383aedae51128ca0649df37,2935,1068.25,6
124,0c75ea48c0fe5d85afa1e398a26599a9,3114,519,6
125,0c7c298334c49696fae0c849f8b732c8,2162,432.4,5
126,0c7dabee0566e0151f5ade29d9a0d921,0,0,0
127,0c8e6d567f5afa99888fadbc33dc8ad8,1520,380,4
128,0c9dc746414fdb0d50d4680df46629b7,3095,343.888888888889,9
129,0ca282e58807c1562f6369b7ee220d9b,3074,279.454545454545,11
130,0cb7ecec86042c978746153867249a06,3192,266,12
131,0cbda260e59a77eec17960d4f1865d05,2044,146,14
132,0cc19dfe0bf78134d778d97e64e7e5a6,1318,659,2
133,0d12b396f945243d9a910ce3775da5d9,2035,1017.5,4
134,0d141fab61086f0ddea92c44327e12e8,4160,520,8
135,0d1d419099ebc0bdc2f820d7bdc561ee,4103,512.875,8
136,0d7039d8eedf9d57bb8987f541bf4b7e,1830,457.5,4
137,0d752d2003a7e98e9d5b3358fcc33213,3196,799,4
138,0d7cd557130b598ba3a4d9840ae638a4,2302,575.5,4
139,0d7ecb6e2b89a0955316efa9473f6074,11402,518.272727272727,22
140,0d9a0ae55d4d2ae500b41a90d9b5663a,1038,519,2
141,0dabdfa8b66e6ee9b23fbb6a8cd36c26,2558,1279,2
142,0dfca07aaa6834165a7ad2821ecef343,7280,1213.33333333333,6
143,0e1150c7ed7df254d6ff86231b741fbd,5105,1519.83333333333,7
144,0e1848c7875dd4060b1347891e58676f,7879,2382.58333333333,10
145,0e32e3831c5c4fe9d68941c991c310e1,6660,277.5,24
146,0e3b1db4f7426bfd2add4d30d930ab28,3159,1053,3
147,0e5a95c5e0ec623bca7e16546d00a387,2085,417,5
148,0e6457acedbcad95b2dbca000e4b0c3c,1043,347.666666666667,3
149,0e7e3e49f216b469611f8f1588595798,1889,377.8,5
150,0e80f4697c21ba85c4536d3816f691b5,1310,436.666666666667,3
151,0e8538afb0df23e41b42dfda8e372b07,3272,409,8
152,0e9f623b3ef8666b0362cd60c4f969c8,3516,879,4
153,0eb3c9ffd0d9ed69654865f38d74acc3,3647,2503,3
154,0ec8bf9555d45ba10e8f91e2db5bfd3b,2599,649.75,4
155,0f10945e8cfe8f8b095eb723a8550eaf,3102,620.4,5
156,0f1130ebcfaeb36cb050b03a1d37a0b3,6131,408.733333333333,15
157,0f383801e8500ab4aa9575079b35a9c0,1216,405.333333333333,3
158,0f72fa51996934974d6db2dacd7edf10,2158,308.285714285714,7
159,0f8f4f361c929598b3a2bc57ca45d199,3451,862.75,4
160,0fcefdead6a3f665fd8791da18458bff,1958,489.5,4
161,10102,0,0,0
162,1010ba39397ef2a150d00d52c381a3d0,2564,641,4
163,10114,0,0,0
164,10116,0,0,0
165,10282,0,0,0
166,10360,0,0,0
167,106419ae1b778accc41021b5071ee986,2319,2319,1
168,1065,0,0,0
169,106d2fc47dc3cb859ddc09f1e6456255,1437,479,3
170,108ea061680ac5c5e000dd30c6e18bd8,3340,835,4
171,10e5c030afc69805de83e832147eb9b6,3097,344.111111111111,9
172,10f86894799afff33f93b91b4a9f53f9,10770,830.305263157895,39
173,11173,0,0,0
174,111e45cac50d5a27a944e80a11422437,3603,1201,3
175,1143ff1f7eeec4a63306b694b632e198,1126,375.333333333333,3
176,115092da5f2414ecba76b1aec4c2a9b3,4819,803.166666666667,6
177,116a5e94914514e4d3f4fe424c8daa10,4723,248.578947368421,19
178,117dd2e7af471843043b4aa936a77caf,2874,479,6
179,11838,0,0,0
180,11913,0,0,0
181,11947d4bf72643ee2fb78d3d256b76c1,3624,604,6
182,11ad34654bf6d1c0131d0a6f2fae372c,1476,123,12
183,11b319d7be712d977f65273128af2ecf,5064,460.363636363636,11
184,11b982464ba054ab9bb36b1913a98eb7,0,0,0
185,11bd85f8bfa1b4100346e0f75d213b5d,7054,1084.66666666667,14
186,11d9c396a56b5e74c7535ff105a91862,2208,736,6
187,11ecd1cd48090f1e8215b15f6ad67d59,3537,505.285714285714,7
188,11fa8390ef2ad3950991bb30d584eadf,1596,399,4
189,121426c654d1c9b4088d272cdad55f58,8532,2533.83333333333,10
190,1216999b29992a6a594a2651c633f796,1342,335.5,4
191,12586,0,0,0
192,12626d233a3ccdbcf2abf74ec8258a36,13147,876.466666666667,15
193,12672,0,0,0
194,12682,0,0,0
195,126e02f0afbcb5cb5048f5250577d50c,2391,797,3
196,1271,0,0,0
197,12725,0,0,0
198,127f42cdda40d45eedcb033fb2437779,3550,273.076923076923,13
199,1283ed0429c8644ad8a3c565d70f1201,1505,250.833333333333,6
200,1296829f54f6a94e9adbf031d5788166,5151,606,17
201,12b37ccfd71dbca2e91ab2055a039d92,3120,520,6
202,12eb06338e6692ba97fd60d129b2492e,5789,694.031746031746,16
203,12f535592990b23590cb7ecfda94dd4d,1194,199,6
204,12f8ad861f5eb55b26a773c0744597e6,3671,734.2,5
205,1302d6a24c0fad18b16cb4feb5a51273,3019,143.761904761905,21
206,132d42e7a3d610ba387fbfb5dd233343,2268,453.6,5
207,1344c77f9dbf469098022694262fb1f2,1205,301.25,4
208,1352cee0b0329562f2645e6706c31e62,2926,487.666666666667,6
209,13531,0,0,0
210,13622,0,0,0
211,13643,0,0,0
212,1365,0,0,0
213,13687,0,0,0
214,13827,0,0,0
215,138b90462db2156aa590ab11448a1c61,3130,240.769230769231,13
216,13985,0,0,0
217,13c1743a9d564ea4b9d048fdb81624d1,1347,449,3
218,13e2f752c9ad73209cbf3c2ced68eac2,19203,1972.91111111111,29
219,13fbe3ae2c1c5313f5d597968ec0ec3c,3835,319.583333333333,12
220,14044f4386118d89c793b41a48cb5b69,4370,485.555555555556,9
221,14381,0,0,0
222,14390,0,0,0
223,143c8abad8fdb44732a27969edbc1106,11512,479.666666666667,24
224,14409,0,0,0
225,145ca64f34812d22c7f6dac0e848b5df,10086,672.4,15
226,145e72c689560aed9bac8256ba7b80de,1018,509,2
227,14678,0,0,0
228,1468a132f5c3acf338e0529c34496f61,4810,400.833333333333,12
229,146e4d037f6a383184aefdbc707545c4,2095,419,5
230,14817,0,0,0
231,14927d3c621523ac437adedcd6ff51c3,10330,794.615384615385,13
232,14b0bfc0ddc99fbfc76acb0ea81a293e,3758,626.333333333333,6
233,14fd0e8323a05f03787fbac6d2da5288,8966,1257.625,14
234,150c91f31a791c1eeb2ad3bd6d918883,4505,626.545454545455,15
235,150d2d36f9ec011429a1128e8be20949,2062,515.5,4
236,151f78bd95c7ab25a7929b23b2054945,2125,425,5
237,15243,0,0,0
238,15315,0,0,0
239,153233b3de8bb70c6221ea12a2afe22e,1770,590,3
240,156455a5c09d5cfbaa344af843eeee00,7575,507.583333333333,32
241,157c9dde4249c1ebeacb5b6e518f8235,7802,487.625,16
242,158c00fb7d57ab45e997d6edeaaa0971,7666,696.909090909091,11
243,15901,0,0,0
244,15942,0,0,0
245,15989635884d1b7589cf8e3bc34704c2,2157,215.7,10
246,15a744efa11f1939163cb0cc4adc2644,1014,338,3
247,15ab998b42593746446491e54382b1ae,7377,491.8,15
248,15c96ffc44860f878b25a0fe23f3d6ad,1657,552.333333333333,3
249,15d6e7829152444bad68a79818a5968d,4881,652.785714285714,15
250,1616a595ad33cd0b6fdcb65b36aa561d,2265,377.5,6
251,16203788bc117971a1fb9040f0502d10,1758,879,2
252,163abe89134d22c544ba6f4a9d68b52f,999,999,1
253,1647,0,0,0
254,164aa9ea8521f9baab17f6a11f13e682,2113,422.6,5
255,169611c0ce0ce5a0ea2487aa621fa888,0,0,0
256,16d105bcd769684111465be320dd6bca,5575,371.666666666667,15
257,16d525d47ed4aa66892262f292030d61,2486,355.142857142857,7
258,16dbfb915a95b657bdb22976c30601ad,3078,256.5,12
259,17093f0279fdddc1df80279fc103beb3,2022,505.5,4
260,17493,0,0,0
261,1757,0,0,0
262,1772ddec9b5a309dc993f2370738fe89,4726,429.636363636364,11
263,17766,0,0,0
264,17807,0,0,0
265,1792129bbba31ffc579285ca88d16a83,1043,173.833333333333,6
266,17948,0,0,0
267,17c878bfea29506c8ab33e114498cbde,4764,317.6,15
268,17c8c55ec80f671b2110f6b3a0e09013,1803,601,3
269,18056,0,0,0
270,18109,0,0,0
271,1811,0,0,0
272,18155,0,0,0
273,18277,0,0,0
274,18439cd3096199c19358910fbf032b3d,1797,599,3
275,18585c3e89b04f2f0161e31defd880f1,8113,386.333333333333,21
276,185e6ad073d13ad2130b57b9a1dd5eaa,3353,479,7
277,1868b07b180afd89a1a37e9f2ae172eb,1618,809,2
278,18a0fd02b36fd62d1169a39d02a7db6b,3992,499,8
279,18c6087dbbff10e20ec93fad359e66a5,2106,1053,2
280,18ff7f7337cea49dfc05c85f2fdc3034,2046,511.5,4
281,19199,0,0,0
282,191a0f016901d9cf05f143be8958b5c2,3068,613.6,5
283,192dcd55bb79b41ad37ce220eae65c62,2138,534.5,4
284,19308,0,0,0
285,1931152596fe28ac8aadb350f88efaa7,3098,344.222222222222,9
286,19524464f0cbdddaa644806e3227f614,2857,952.333333333333,6
287,196088ab1a964870f024bd912e2ef160,2061,294.428571428571,7
288,19678,0,0,0
289,1975,0,0,0
290,19834d6d45e79b99445feca0e3d15d4e,2676,892,3
291,19a4b13f898c560431ef473bf6dab5b2,3722,801.833333333333,9
292,19a7a737ffc99008cc7d40bfd78c5293,1056,150.857142857143,7
293,19c510fb1751bd64035676b13c08f6ea,3272,409,8
294,19dc9022d5405d9fdf6c6a8f4bdbdc5b,2652,884,3
295,1a1f064476fd10e1099253266939f96c,9991,768.538461538462,13
296,1a3fc7b214b875016f59857776311e02,4876,812.666666666667,6
297,1a4b7626059285fde9fc970bc250a582,4372,364.333333333333,12
298,1a51febb7c115f484a1fbc41ed871585,3983,358.285714285714,21
299,1a71e892fda97aec219dc467612a4c90,1587,396.75,4
300,1a7b60161234b149b2b94939614d0954,2731,910.333333333333,3
301,1ae6e17d3e5d4682680e0bc6a43b83af,6282,3141,4
302,1ae7be0e36d478e4fd774a94cba946de,3333,333.3,10
303,1b007ba4f078fa80bda72fb4248f4bac,6050,216.071428571429,28
304,1b0375bc0c3a1a6ea1794b059640de70,1306,435.333333333333,3
305,1b060e55328a2f9d43512c2bf84b3a5e,4809,1675.2,7
306,1b2bbe6b8ca91137a71d4f7990b6eab4,2460,410,6
307,1b3e4b051fa41decb5ea270e8329acb6,7171,816.066666666667,21
308,1b5387607a6481fe7989048b13425cda,1198,599,2
309,1b5813a63f0c977816053e3412cbd254,1101,275.25,4
310,1b61fef894ef587f8f6ed39cf625f9f7,1170,390,3
311,1b6542baa42a691d164b0f148bc1317a,1467,366.75,4
312,1b9116eecb32ca592bcb52a011e36ffc,4184,321.846153846154,13
313,1bc0e02cd26f942244e998eb2e68bbaa,3049,304.9,10
314,1bc6115da5004a1082e70b304fbf3538,6541,1080.35,13
315,1bf7237d541810d25c2680ab6ab6d217,1384,461.333333333333,3
316,1bf89769914e78965e0db1eaf9221bd3,2199,439.8,5
317,1c0102d6c1bac9a19543bedb3f6acf0b,1437,479,3
318,1c121f9eeb12dbf5335809ae3c490f47,1477,369.25,4
319,1c6e5010c6244031cf5ee9afb6ffae66,2044,292,7
320,1c8f7e0b5395deb2e28bcdd84a7a5c23,1276,182.285714285714,7
321,1cc1ff62f01c4c9f71fabf37e4f551cc,4183,697.166666666667,6
322,1cda9a3d78be3e078d7d3dae1db08a80,4248,326.769230769231,13
323,1ce1ef94ee0a7022f9aa2640c3f5c8d8,2424,484.8,5
324,1cf302c453d6c7398ec83ac1567f2c3e,3111,311.1,10
325,1d0afbd971742ca4b029b3c28ab96c58,3159,631.8,10
326,1d0c815ad3f6ff9a9133669d85658c69,2262,377,6
327,1d1334d8171f35a9ea097613013d6e74,1057,352.333333333333,3
328,1d2ab960525334ab5ef316876e13d5cf,6226,566,11
329,1d2fe92fbc0202fbf9e8dd3e7e4e6563,1598,799,2
330,1d5b95b7a0ff9e8693d23c7079f0e2a3,3265,296.818181818182,11
331,1da6e61bd82228dc0e83585e7be5fab8,2176,272,8
332,1db629ce801ddb82f88905d2091695da,4212,702,6
333,1dc3cb1cd4f0fbbc993c272a16e24293,2969,538,11
334,1dd494ea411d6ceaf0fdbc0610d9ab2e,3019,274.454545454545,11
335,1e2a8020bcbcf4fe13af6363897f63a3,4659,665.571428571429,7
336,1e6d9eacad549983ac5dd8e63c741a11,6676,667.6,10
337,1e8d0fa60fd041a8eb0244c095d9ba23,1384,461.333333333333,3
338,1eaaf3f11ab7bb7a7a52eda3c124429c,4596,766,6
339,1eb1782823461ae8eccb9c6555a85f26,14497,942.527777777778,29
340,1ec0292f87c46abf175dacbda0a69626,2617,523.4,5
341,1ed55039e372b5f4389287e6a918fbfe,2025,675,3
342,1ed681fac904ef79414c5d52c97e0ffc,1198,599,2
343,1ee54672ac408e807d85bab9f869fec4,3144,786,4
344,1ee605d1a77d97125e996019ca38c872,2578,429.666666666667,6
345,1ef161b69fc07a50e0b6525fc57258d0,1693,423.25,4
346,1f1c41dcb727680bf4b02d7363eb4779,2048,341.333333333333,6
347,1f209d0a71f8adc3a5d017251b10ecae,4053,405.3,10
348,1f673ea0108dd2fb09d6b3d4e6406ddd,1200,200,6
349,1f9de00c4772d08273b6df640c781ff5,1211,242.2,5
350,1fe78c305e0e00938cd2597bea1b4b87,1584,316.8,5
351,1ffb751b914cbe652643ac60ba60258b,4437,554.625,8
352,2005,0,0,0
353,20186,0,0,0
354,202c8ce72503daed553346d368155240,3067,511.166666666667,6
355,20307,0,0,0
356,203d8f87d1e517957da4294b420f5b72,1565,313,5
357,2044b11da81d51f96aabc308b18ce7d4,3213,357,9
358,20500,0,0,0
359,20630,0,0,0
360,20662,0,0,0
361,20736ad50a9b49f5968c534cacc65811,1316,219.333333333333,6
362,2076ec2082805f8353e96ea1f082b643,3143,628.6,5
363,20be6369c2ed77721446d1793c3abe83,4823,371,13
364,20c312f96b6fc2a0d2ae178a94b371d8,2029,2029,1
365,20ce683bf4a27dc9728ca4e6fc3dce53,6645,474.642857142857,14
366,20df79a7275415fdd02b7dc2bbca3472,3603,450.375,8
367,20e9c2b6b008cffaa1dc2c803d5397a3,2020,673.333333333333,3
368,20f4806a9e3a2c99d29ca74be9799349,1178,294.5,4
369,20fbac557d006d03e9dba6ed69171bfd,2396,599,4
370,20fc44f1bc289e2a3e2d5c9c147e4699,3109,155.45,20
371,21072e125d954f5c6bb51c9dcb9fd837,3845,320.416666666667,12
372,211ce5e60cbf2bcfd05dd8a58f60d6d6,2164,270.5,8
373,21264,0,0,0
374,213ff871d8c55c9ec791e0ff0a070ef3,3373,306.636363636364,11
375,21429824167a6d525226f885249a3aa1,2558,1279,2
376,2143,0,0,0
377,21485,0,0,0
378,214b820d8f4d892b21c2f76e5a185480,1148,164,7
379,21612906967217291f82d4d8b76986a0,7071,883.875,8
380,21671,0,0,0
381,21692,0,0,0
382,21750,0,0,0
383,217c2c11641d6d3353653f6a706b8a99,8323,1387.16666666667,6
384,218a2c265820d99f6210ea3bb51f681e,1069,534.5,2
385,219,0,0,0
386,21952,0,0,0
387,21994e6b941951468f1899c3cf194208,5156,644.5,8
388,21aff1c92caa636f53998637f5072079,2319,2319,1
389,220e622c697fc14e36d5d065ca8f875a,1234,137.111111111111,9
390,22276,0,0,0
391,2243c68aef103c6805f8d4800d143e9d,1437,479,3
392,2246,0,0,0
393,224f7ef91b222d1554ece4919fb1a767,0,0,0
394,22504,0,0,0
395,2250707e7e83ea8b3bd3943df180374c,3515,234.333333333333,15
396,2276ce7305e91f59c1b802cf32a056f7,8274,551.6,15
397,2278,0,0,0
398,22785,0,0,0
399,22786,0,0,0
400,22799,0,0,0
401,22833,0,0,0
402,22bce2c8e53e4e18a8b5679ced6bb1ae,3042,338,9
403,22be5fe3303a5dff9cdb8382ed4dc456,3503,250.214285714286,14
404,2302baf8067e4ad694a33a16d96dc427,2994,499,6
405,230e10b8338b9ba97cf9b1a4a658dfee,4995,277.5,18
406,23157,0,0,0
407,23250,0,0,0
408,23396,0,0,0
409,236450754d82cfe03e2800edb342923f,2622,437,6
410,23845,0,0,0
411,23854,0,0,0
412,23a5e8f1a62449aaf2216b6aa1c68a6e,2460,246,10
413,23a906659fc650ddcc12f3fa26bfd508,1550,387.5,4
414,23eb70b447b2c2ccb9b4054b7ef22ffc,3102,1034,3
415,2405,0,0,0
416,2408f85e6a91b24bee65ed2c9fde6890,5891,2354,5
417,24090,0,0,0
418,24135,0,0,0
419,2415,0,0,0
420,2415b8dfdb740eab367e309a7649161f,3904,488,8
421,242d0b09c799c979501a4c22e48c7deb,3154,788.5,4
422,2431b1fb65e3d56d3e311b8fcd3e275d,2076,346,6
423,24355,0,0,0
424,243afcd4ea6e4ca775dc6cb15789233e,3087,192.9375,16
425,24479,0,0,0
426,245e01e22de71e961d2023a0f2f53a89,11279,239.978723404255,47
427,2470a54658537b2c473877b80ea80d7f,5186,432.166666666667,12
428,24761,0,0,0
429,248881722bc08274d4b7b5fc42c92aa9,1927,642.333333333333,3
430,24923,0,0,0
431,24cd8561172e42630912fc7cc6e6ae26,2248,749.333333333333,3
432,24dda5ff1b7602355256f6a9904f0d14,1810,452.5,4
433,25128,0,0,0
434,25276,0,0,0
435,25329,0,0,0
436,25356,0,0,0
437,2537c92dfe2a7e275985806035bea2cc,1208,402.666666666667,3
438,25434,0,0,0
439,25590,0,0,0
440,25856e5881a8b7cde369e9b5c2459f8d,3406,243.285714285714,14
441,25914,0,0,0
442,25b3aea3699c29c4a8a7770308f151b9,4459,891.8,5
443,25bceeefe022eba758107a1deb77a440,1279,1279,1
444,25bec75c7933b50498bebd5abaa916f2,9759,887.181818181818,11
445,25d93168a4eb6d3c5b109b9a2ab17058,1153,384.333333333333,3
446,25db6abff4b5018362e347dfa4226df9,2117,151.214285714286,14
447,25ddeca26b228a66559b5fd39e1129c1,2123,424.6,5
448,25e138a4ff0e2be6a1cbec52176f9003,2178,363,6
449,25e68d7c12f58975a13d100eb8ab1029,2047,157.461538461538,13
450,26086,0,0,0
451,260910fd4cf1dd8a6a4bc33c31d3b5d8,2458,1229,2
452,261,0,0,0
453,2621a1c3de99c9783f5ce753dd168496,3520,440,8
454,2629c7ec590db50be67f54e30760e4f9,2236,559,4
455,26369,0,0,0
456,26406,0,0,0
457,26440,0,0,0
458,264905530cf5b69107e3309980739a2e,0,0,0
459,26574,0,0,0
460,265fdb486ec1fe7eaa19f5ac9eba2d2d,2442,610.5,4
461,267dc940a7b045984c1359f3d0129789,12380,3095,8
462,26887,0,0,0
463,26888,0,0,0
464,269365e144700764ba60ad51466f624f,2978,496.333333333333,6
465,2693ea63d193e6d5a5ad8039811fcd99,9631,806.0625,24
466,26a1d2f11ba00572a4a0529afd8f31ad,1731,346.2,5
467,26beea9ba3886f4e090b9147fa444fb5,1154,230.8,5
468,27123,0,0,0
469,2720f08b150a1fa6aa1f5e1e6b1742ee,3100,206.666666666667,15
470,27264,0,0,0
471,2731f2a077564c6f5a55092cb99dc9fb,2075,415,5
472,274c040c685b3fe67327da593ce85c0c,5752,410.857142857143,14
473,2758,0,0,0
474,2765e1c4320b26738eb4e9d526d4fb88,8046,1018.6,16
475,27998,0,0,0
476,27cde92672fc47a34ee1e589b44ddb67,8136,813.6,10
477,27d66cf78f65bff31c9f896ae81c3027,3132,783,4
478,27df9bcfa2950f6cf2fa3574000eefdb,1300,325,4
479,27e7f8df6919994874f5dbfd571a4684,3116,389.5,8
480,28025b8019dfd983e2b629c3fcca00b2,2279,455.8,5
481,28116,0,0,0
482,28131,0,0,0
483,2814e5e2d074f151da01cdbf7579c1a6,4326,432.6,10
484,2815,0,0,0
485,2825ec33b4d5c26a4a4776d81ac98e89,4837,439.727272727273,11
